                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.77341,                0.49909,                 0.9137,                0.99867,                      1,                  0.995,                0.79334,                0.74689,                 0.4487,                0.94719,               0.002575,               0.002575,               0.002575
                     77,                0.76087,                0.45822,                0.89037,                0.99863,                      1,                  0.995,                0.80429,                0.71019,                 0.4225,                0.92837,               0.002476,               0.002476,               0.002476
                     78,                0.72829,                0.44802,                 0.8848,                0.99865,                      1,                  0.995,                0.78178,                0.77339,                0.44038,                0.94339,               0.002377,               0.002377,               0.002377
                     79,                0.72274,                0.45803,                0.89559,                0.99862,                      1,                  0.995,                0.83068,                0.68551,                 0.4146,                 0.9273,               0.002278,               0.002278,               0.002278
                     80,                0.72877,                0.46191,                0.85691,                0.99862,                      1,                  0.995,                0.83068,                0.68551,                 0.4146,                 0.9273,               0.002179,               0.002179,               0.002179
                     81,                0.75492,                0.43662,                0.94817,                0.99853,                      1,                  0.995,                0.79743,                0.71843,                 0.4073,                0.92946,                0.00208,                0.00208,                0.00208
                     82,                0.72118,                0.44395,                0.88286,                0.99835,                      1,                  0.995,                0.79896,                 0.7511,                0.40673,                0.94072,               0.001981,               0.001981,               0.001981
                     83,                0.74874,                0.45129,                0.89224,                0.99849,                      1,                  0.995,                0.81453,                0.70494,                0.40093,                0.93425,               0.001882,               0.001882,               0.001882
                     84,                0.75788,                0.44139,                0.89874,                0.99849,                      1,                  0.995,                0.81453,                0.70494,                0.40093,                0.93425,               0.001783,               0.001783,               0.001783
                     85,                0.74554,                0.47155,                 0.8917,                0.99843,                      1,                  0.995,                0.83617,                0.63892,                0.37044,                0.92178,               0.001684,               0.001684,               0.001684
                     86,                0.68675,                0.43735,                0.89761,                0.99835,                      1,                  0.995,                0.81465,                0.68076,                0.37473,                  0.931,               0.001585,               0.001585,               0.001585
                     87,                0.66795,                0.43281,                0.89758,                0.99851,                      1,                  0.995,                 0.8164,                0.71406,                 0.4103,                0.92643,               0.001486,               0.001486,               0.001486
                     88,                0.68646,                0.43917,                0.90832,                0.99851,                      1,                  0.995,                 0.8164,                0.71406,                 0.4103,                0.92643,               0.001387,               0.001387,               0.001387
                     89,                0.68706,                0.44661,                0.86725,                0.99845,                      1,                  0.995,                0.79864,                0.75083,                0.40742,                0.93124,               0.001288,               0.001288,               0.001288
                     90,                0.72364,                0.43792,                0.90991,                 0.9985,                      1,                  0.995,                0.82465,                0.69136,                0.37555,                0.93465,               0.001189,               0.001189,               0.001189
                     91,                 0.7037,                0.47606,                0.89703,                0.99854,                      1,                  0.995,                0.83502,                0.65237,                0.37037,                0.92553,                0.00109,                0.00109,                0.00109
                     92,                0.69552,                0.40666,                0.91124,                0.99854,                      1,                  0.995,                0.83502,                0.65237,                0.37037,                0.92553,               0.000991,               0.000991,               0.000991
                     93,                0.71884,                0.41881,                0.90676,                0.99848,                      1,                  0.995,                0.81408,                0.65045,                0.38288,                 0.9221,               0.000892,               0.000892,               0.000892
                     94,                0.70336,                0.42315,                0.89213,                0.99843,                      1,                  0.995,                0.82786,                0.65478,                0.37702,                0.91719,               0.000793,               0.000793,               0.000793
                     95,                  0.689,                0.43146,                0.90359,                0.99846,                      1,                  0.995,                0.82614,                0.65083,                0.38308,                0.91482,               0.000694,               0.000694,               0.000694
                     96,                0.66563,                 0.3827,                0.90969,                0.99846,                      1,                  0.995,                0.82614,                0.65083,                0.38308,                0.91482,               0.000595,               0.000595,               0.000595
                     97,                0.65742,                0.40336,                0.90904,                0.99845,                      1,                  0.995,                0.83458,                0.64474,                0.38067,                0.91124,               0.000496,               0.000496,               0.000496
                     98,                0.65111,                0.40698,                0.91078,                0.99846,                      1,                  0.995,                0.83215,                0.62916,                0.37226,                 0.9065,               0.000397,               0.000397,               0.000397
                     99,                0.69377,                0.41443,                 0.9228,                0.99852,                      1,                  0.995,                0.83601,                 0.6143,                0.36951,                0.90328,               0.000298,               0.000298,               0.000298
